Date,Symbol,Open,High,Low,Close,Matched_Value,Matched_Volume,Put_through_Volume,Put_through_Value,Percentage_Change
2002-07-11,VNINDEX,197.25,197.25,197.25,197.25,3236460.0,113800,35000,1360500.0,-0.00010138389009994864
2002-07-12,VNINDEX,198.17,198.17,198.17,198.17,2877460.0,96600,10000,412000.0,0.004664131812420758
2002-07-15,VNINDEX,197.37,197.37,197.37,197.37,3927130.0,131400,214120,6986312.0,-0.004036937982540123
2002-07-16,VNINDEX,196.85,196.85,196.85,196.85,1750290.0,73100,27300,1145410.0,-0.002634645589501994
2002-07-17,VNINDEX,194.3,194.3,194.3,194.3,1740680.0,70800,60000,2297000.0,-0.012954025908051725
2002-07-18,VNINDEX,192.42,192.42,192.42,192.42,1352310.0,54400,52000,1307200.0,-0.009675759135357787
2002-07-19,VNINDEX,191.25,191.25,191.25,191.25,2486800.0,100900,0,0.0,-0.006080449017773604
2002-07-22,VNINDEX,193.36,193.36,193.36,193.36,2672500.0,110500,0,0.0,0.011032679738562257
2002-07-23,VNINDEX,196.85,196.85,196.85,196.85,1749820.0,55100,87300,3670600.0,0.01804923458833252
2002-07-24,VNINDEX,197.42,197.42,197.42,197.42,3587470.0,138200,124000,3070400.0,0.0028956057912115085
2002-07-25,VNINDEX,194.49,194.49,194.49,194.49,3302920.0,132700,32000,1344000.0,-0.014841454766487572
2002-07-26,VNINDEX,195.79,195.79,195.79,195.79,1896920.0,68700,10000,420000.0,0.006684148285258873
2002-07-29,VNINDEX,195.16,195.16,195.16,195.16,2292330.0,86300,0,0.0,-0.0032177332856632157
2002-07-30,VNINDEX,196.94,196.94,196.94,196.94,2064010.0,76300,0,0.0,0.009120721459315417
2002-07-31,VNINDEX,197.57,197.57,197.57,197.57,3425740.0,120600,97000,3700500.0,0.0031989438407635795
2002-08-01,VNINDEX,197.12,197.12,197.12,197.12,1820030.0,64900,0,0.0,-0.0022776737358910504
2002-08-02,VNINDEX,195.06,195.06,195.06,195.06,2088360.0,79500,110000,4510000.0,-0.010450487012987009
2002-08-05,VNINDEX,193.67,193.67,193.67,193.67,2573570.0,106600,27800,1139800.0,-0.007126012508971713
2002-08-06,VNINDEX,194.34,194.34,194.34,194.34,1662240.0,69700,30000,567000.0,0.003459492951928711
2002-08-07,VNINDEX,194.06,194.06,194.06,194.06,1834980.0,72100,0,0.0,-0.001440773901409953
2002-08-08,VNINDEX,193.39,193.39,193.39,193.39,2244740.0,85600,0,0.0,-0.0034525404514068603
2002-08-09,VNINDEX,192.49,192.49,192.49,192.49,2794770.0,111600,0,0.0,-0.00465380836651319
2002-08-12,VNINDEX,191.53,191.53,191.53,191.53,1771680.0,70300,20000,874000.0,-0.004987272066081405
2002-08-13,VNINDEX,189.78,189.78,189.78,189.78,2853350.0,114700,11000,194700.0,-0.009136949825092722
2002-08-14,VNINDEX,188.73,188.73,188.73,188.73,2618370.0,99800,10000,167000.0,-0.005532722099272913
2002-08-15,VNINDEX,189.55,189.55,189.55,189.55,3116250.0,154400,0,0.0,0.0043448312403964184
2002-08-16,VNINDEX,191.67,191.67,191.67,191.67,1910430.0,75400,0,0.0,0.011184384067528308
